"Name","HostName","OS","IPAddress","NumCPU","NumCPUCoresPerSocket","MemorySizeGB","NumEthernetCards","NumVirtualDisks","ProvisionedStorageGB","CommittedStorageGB","FTEnabled","CPUHotAddEnabled","RAMHotAddEnabled","VMToolsInstallerMounted","ToolsVersion","ToolsStatus","ToolsVersionStatus","ToolsRunningStatus","ToolsUpgradePolicy","Annotation","State","Status","vCenterServer","HardwareVersion","UUID","InstanceUUID","GuestID","Template","Generated"
"rds01","rds01.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.24","8","1","24","1","1","224","224","False","False","False","False","9536","toolsOk","guestToolsCurrent","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","564da8cf-67f6-9170-a60c-5b98d8a485a1","501af311-a162-442a-cffd-bf9c84b3871d","windows8Server64Guest","False","8/7/2018 10:00:00 AM"
"win-7-master","win-7-master.sddclab.local",,,"2","1","2","1","1","82","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421ad86f-b511-b592-4247-999bb0bc00b0","501acc26-1a35-40c1-e774-3233cb9844f7","windows7_64Guest","False","8/7/2018 10:00:00 AM"
"win-8-master","win-8-master.sddclab.local",,,"2","1","8","1","1","128","60","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421aa3d7-4912-7493-79d1-8f4c773c629f","501a447a-7fba-d896-d045-9d6d9a76b410","windows8_64Guest","False","8/7/2018 10:00:00 AM"
"dc01","dc01.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.11","2","1","4","1","1","44","44","False","False","False","False","9536","toolsOk","guestToolsCurrent","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","564d919d-d3d6-c69f-94b7-9c101a642dd5","524cfe5d-2f20-9362-2f63-ca100e089624","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"win-7-bare",,,,"2","1","2","1","1","42","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a9039-15d7-b14f-be24-d7b84d3498ce","501a31ab-25d8-4751-448c-2b6e188ce567","windows7_64Guest","False","8/7/2018 10:00:01 AM"
"win-8-bare",,,,"2","1","8","1","1","68","60","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421afd5c-eb71-fc9f-82dc-fcabfe05f9a9","501a1216-7c2a-bbde-4bb0-587df0d1f626","windows8_64Guest","False","8/7/2018 10:00:01 AM"
"win-7-clean","win-7-clean.sddclab.local",,,"2","1","2","1","1","82","43","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421aaf12-fce2-9e2c-ab0f-b28f689a6767","501a7223-2743-ba03-3236-dddc5b9703ef","windows7_64Guest","False","8/7/2018 10:00:01 AM"
"win-8-clean","win-8-master.sddclab.local",,,"2","1","8","1","1","128","60","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a9d3c-d560-3c39-0a07-cfedcd81f33d","501a36aa-696c-ab6d-bb15-aa6338f656ac","windows8_64Guest","False","8/7/2018 10:00:01 AM"
"replica-025930f0-c800-4514-b541-63ac586a7858",,"Microsoft Windows 7 (64-bit)",,"2","1","2","1","1","63","21","False","False","False","False",,"toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a0971-6787-ace7-03fd-1acc2c769cf3","501acddd-5931-c6e7-7293-c1728e924fad","windows7_64Guest","False","8/7/2018 10:00:01 AM"
"replica-42aa9fbe-1929-48e5-880d-976bdba1fdcf",,"Microsoft Windows 7 (64-bit)",,"2","1","2","1","1","63","21","False","False","False","False",,"toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421acd75-26cf-2a83-c115-66c9655fd628","501a7660-f4df-1581-81b5-411fa152ac8d","windows7_64Guest","False","8/7/2018 10:00:01 AM"
"win-7-master-template",,,,"2","1","2","1","1","42","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a7425-6910-b596-9484-2c14917c6188","501a872d-19b7-96d7-3c07-ad03d27a5d13","windows7_64Guest","False","8/7/2018 10:00:01 AM"
"esxi-6.0-autodeploy-mgmt-a","esxi-6","VMware ESXi 6.0",,"24","12","32","2","1","48","16","False","False","False","False","0","toolsNotInstalled","guestToolsNotInstalled","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a66ce-e731-7cff-ad8a-b7e8ea28b538","501af3a7-ed7a-82a4-0db8-26cb0c456c7c","vmkernel6Guest","True","8/7/2018 10:00:01 AM"
"panorama",,,,"4","2","4","2","2","88","84","False","False","False","False","0","toolsNotInstalled","guestToolsNotInstalled","guestToolsNotRunning","manual","Panorama-7.0.1","notRunning","poweredOff","vcenter01.sddclab.local","vmx-09","421a6fc3-f9d0-f64a-9bcc-c4541d807389","501af3f0-1364-6023-c04f-d4d45f2cfc0c","centos64Guest","False","8/7/2018 10:00:01 AM"
"powershell","powershell.sddclab.local",,,"2","1","4","1","1","44","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","564d1565-2dcb-d45c-707d-ee667ab401d5","501adca1-a81f-2e9f-6eb6-ba6d06b06f1e","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"test","localhost",,,"24","12","32","2","1","48","16","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a3310-ce05-db96-2011-0208fb8e0e04","501a8391-d6ee-a3c4-7f2d-e958c3923bd0","vmkernel6Guest","False","8/7/2018 10:00:01 AM"
"centos67","centos67.sddclab.local",,,"2","1","4","1","1","39","35","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a2032-fb00-2680-af3d-308ab063eed7","501a0e94-827d-3de4-f92b-4b1c207bd1f2","rhel6_64Guest","False","8/7/2018 10:00:01 AM"
"panorama-webserver","panwebserver.sddclab.local",,,"2","1","4","1","1","44","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421ac702-7aa9-9ed6-360b-a9ec71ba6a78","501a1cb3-94fe-d072-3121-d2e1760926ca","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"w2k12r2-template","WIN-N0SFGOVC2DB","Microsoft Windows Server 2012 (64-bit)",,"2","1","4","1","1","44","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a61f1-fa62-b35d-83da-04c53c098395","501a27ec-03ea-112a-d03c-494f764f2ea7","windows8Server64Guest","True","8/7/2018 10:00:01 AM"
"nsxmgr","nsxmgr.sddclab.local","Other 3.x or later Linux (64-bit)","172.25.11.14","4","1","16","1","1","73","73","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","NSX Manager is the centralized network management component of VMware NSX for vSphere. VMware NSX is the network virtualization platform that delivers the operational model of a VM for the network to transform data center operations and economics. NSX Manager is installed as a virtual appliance on any ESX? host in your vCenter Server environment. You should install the NSX Manager virtual appliance on an ESX host separate from your NSX components. You may use the NSX Manager Appliance Management User Interface, Command Line Interface and vSphere Web Client User Interface to install, configure and maintain NSX components.","running","poweredOn","vcenter01.sddclab.local","vmx-08","564d8fbe-dcc8-af7f-710d-f65378b95357","501ab31f-724a-9c9f-6092-d12c74f0e2b2","otherLinux64Guest","False","8/7/2018 10:00:01 AM"
"dc02","dc02.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.12","2","1","4","1","1","44","44","False","False","False","False","9536","toolsOld","guestToolsSupportedOld","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","564d7913-0034-e92b-92f0-70c2efd3d4ab","501a20b4-5512-8283-5c1c-492b41d7c5b7","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"centos7-template","localhost.localdomain","CentOS 4/5 or later (64-bit)",,"2","1","2","1","1","22","20","False","False","False","False","2147483647","toolsNotRunning","guestToolsUnmanaged","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","564de3f4-035f-a364-775e-5a7ffb255f43","501a1a5a-7586-1621-68ec-203c205c52fe","centos64Guest","True","8/7/2018 10:00:01 AM"
"vra-a-windows-2012-r2",,,,"2","1","4","1","1","44","40","False","False","False","False","9536","toolsNotRunning","guestToolsCurrent","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a7033-989e-1010-187c-40abc704e81a","501aaea1-0579-654e-1f4f-6d625657f95f","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"vcenter02.sddclab.local","vcenter02.sddclab.local","Other 3.x or later Linux (64-bit)","172.25.11.50","4","1","16","1","12","286","286","False","True","True","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","VMware vCenter Server Appliance","running","poweredOn","vcenter01.sddclab.local","vmx-10","564db22e-ba22-0217-5a29-65c6b7c9ae29","523cc789-d94b-0806-70a4-aa9b7ce1d872","other3xLinux64Guest","False","8/7/2018 10:00:01 AM"
"iaas","iaas.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.22","2","1","4","1","1","88","67","False","False","False","False","10246","toolsOld","guestToolsSupportedOld","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","421a8a95-5377-fec5-b050-d43dac232d52","501a6eb0-2985-a2b4-1637-48656de1fb42","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"sql","sql.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.29","2","1","16","1","3","406","406","False","False","False","False","9536","toolsOld","guestToolsSupportedOld","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","421ad050-b9a1-8728-d0f5-de4e20e0367e","501a4422-fad1-2653-22fc-73177497d1a1","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"loginsight","loginsight.sddclab.local","SUSE Linux Enterprise 11 (64-bit)","172.25.11.20","8","1","16","1","3","547","547","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","VMware vRealize Log Insight","running","poweredOn","vcenter01.sddclab.local","vmx-09","421a64d8-7f90-4c23-c75f-499fc5bb81b9","501a6d91-b50d-07c2-865d-18fc0356eed9","sles11_64Guest","False","8/7/2018 10:00:01 AM"
"vcenter01.sddclab.local","vcenter01.sddclab.local","Other 3.x or later Linux (64-bit)","172.25.11.13","8","1","24","1","12","923","923","False","True","True","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","VMware vCenter Server Appliance","running","poweredOn","vcenter01.sddclab.local","vmx-10","564dd7ee-c1d4-4240-032c-ffe7c3d59351","52cd35e2-22d2-9d95-9c02-3291942246a7","other3xLinux64Guest","False","8/7/2018 10:00:01 AM"
"vra","vra.sddclab.local","SUSE Linux Enterprise 11 (64-bit)","172.25.11.15","4","1","18","1","4","316","205","False","True","True","False","10277","toolsOld","guestToolsSupportedOld","guestToolsRunning","manual","VMware vRealize Automation enables customized, self-service provisioning and lifecycle management of cloud services that comply with established business policies.","running","poweredOn","vcenter01.sddclab.local","vmx-07","421aa6d1-736f-efc0-53b1-e65fddf3bc45","501a28c4-b861-989c-9be8-06b79a61bf81","sles11_64Guest","False","8/7/2018 10:00:01 AM"
"vra-t-centos7",,"CentOS 4/5 or later (64-bit)",,"2","1","2","1","1","22","20","False","False","False","False","2147483647","toolsNotRunning","guestToolsUnmanaged","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a15fd-56df-2928-bd09-4850a8baef1b","501a8502-568d-8e22-388a-bd32aa7457dd","centos64Guest","True","8/7/2018 10:00:01 AM"
"vra-t-win2k12r2",,"Microsoft Windows Server 2012 (64-bit)",,"2","1","4","1","1","44","40","False","False","False","False","9536","toolsNotRunning","guestToolsSupportedOld","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a35ae-6cf0-4293-08c7-39c42ea42c6b","501ab372-6205-b995-57a3-0ca946be3f05","windows8Server64Guest","True","8/7/2018 10:00:01 AM"
"Server2016Template","WIN-P2SPJH7TIRS",,,"2","1","4","1","1","44","9","False","False","False","False","10246","toolsNotRunning","guestToolsSupportedNew","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a5629-af4f-5e57-3286-230b8b8668b4","501a3094-e9af-e3ab-487d-0d0069a80c83","windows9Server64Guest","False","8/7/2018 10:00:01 AM"
"vcs1","WIN-P2SPJH7TIRS",,,"2","1","4","1","1","44","9","False","False","False","False","10246","toolsNotRunning","guestToolsSupportedNew","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421ae77c-658e-b297-51fd-e8eca8a8185c","501a8095-6960-0578-29eb-e4cbdb30d020","windows9Server64Guest","False","8/7/2018 10:00:01 AM"
"identity-manager-3.1.0.0-7291215_OVF10",,,,"2","1","6","1","4","66","60","False","False","False","False","2147483647","toolsNotRunning","guestToolsUnmanaged","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a5cb0-64e3-71d1-8999-cbc20d535053","501a9b7b-f6e7-602b-917e-8fcb8b5e479a","sles11_64Guest","False","8/7/2018 10:00:01 AM"
"iogen",,,,"1","1","2","1","1","3","1","False","False","False","False",,"toolsNotInstalled",,"guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a6856-c266-a3c9-f942-a138ddd47e67","501ac697-29a1-3262-caef-ce9d88fef411","centos64Guest","False","8/7/2018 10:00:01 AM"
"mysql-io - Copy","mysql-io.grantstreet.com",,,"8","1","32","1","1","64","24","False","False","False","False","2147483647","toolsNotRunning","guestToolsUnmanaged","guestToolsNotRunning","manual","","notRunning","poweredOff","vcenter01.sddclab.local","vmx-11","421a7883-8e8e-900b-3efa-51b03fb1112a","501a3388-372f-410d-4ffc-30d75c3c9b97","otherGuest","False","8/7/2018 10:00:01 AM"
"infoblox-ddi-8.2.4-366880",,,,"2","1","16","4","1","261","244","False","False","False","False","0","toolsNotInstalled","guestToolsNotInstalled","guestToolsNotRunning","manual","NIOS automates the error-prone and time-consuming manual tasks associated with deploying and managing DNS, DHCP and IP address management required for continuous IP network availability and business uptime.","notRunning","poweredOff","vcenter01.sddclab.local","vmx-10","421a15db-55aa-2990-529b-1e216e882f99","501aa68d-0624-1950-4f48-66d4c8c691db","otherGuest64","False","8/7/2018 10:00:01 AM"
"vrops","localhost",,,"4","1","16","1","3","282","14","False","False","False","False","2147483647","toolsNotRunning","guestToolsUnmanaged","guestToolsNotRunning","manual","vRealize Operations Manager Appliance

Version 6.0.1 running on SLES 11 SP3","notRunning","poweredOff","vcenter01.sddclab.local","vmx-08","421a4567-736e-69c0-8345-c730bd6df122","501aed53-6b4a-7d2e-a69c-740db27c0164","sles11_64Guest","False","8/7/2018 10:00:01 AM"
"tower","tower.sddclab.local","Red Hat Enterprise Linux 7 (64-bit)","172.25.11.54","2","1","8","1","1","108","108","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","421ae456-cf55-090e-42be-7e202e3cf2e0","501afaa0-b17e-37c9-b602-7ac641660876","rhel7_64Guest","False","8/7/2018 10:00:01 AM"
"snow_mid_demo6_1","SNOW-MID-D6-1.sddclab.local","Microsoft Windows Server 2012 (64-bit)","172.25.11.90","4","1","8","1","1","48","48","False","False","False","False","10246","toolsOk","guestToolsSupportedNew","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-11","421a6bda-57e5-b63e-7c50-4cafbfc21ddd","501a5039-02a4-81cf-8acf-7d604082308f","windows8Server64Guest","False","8/7/2018 10:00:01 AM"
"controller-1-NSX-controller-12","nsx-controller","Other 3.x or later Linux (64-bit)","172.25.11.6","4","1","4","1","1","28","28","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-10","421ac080-c704-e955-04ed-a78117bbfd8a","501adc66-9fc5-f735-e396-6a680c0d9120","other3xLinux64Guest","False","8/7/2018 10:00:01 AM"
"controller-2-NSX-controller-13","nsx-controller","Other 3.x or later Linux (64-bit)","172.25.11.9","4","1","4","1","1","28","28","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-10","421a45b7-4a7a-6886-f03c-87cd1848b199","501acd95-3dd4-7459-ecbc-a7a644e7ed37","other3xLinux64Guest","False","8/7/2018 10:00:01 AM"
"controller-3-NSX-controller-14","nsx-controller","Other 3.x or later Linux (64-bit)","172.25.11.10","4","1","4","1","1","28","28","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-10","421a7259-ce25-3118-af6c-6fe8326cca63","501a17ca-d4e6-d367-74ff-6fcfc033e5f1","other3xLinux64Guest","False","8/7/2018 10:00:01 AM"
"vdi-dhcp-0","NSX-edge-6-0","Other 3.x or later Linux (64-bit)","172.25.8.2","2","1","1","10","2","1","1","False","False","False","False","2147483647","toolsOk","guestToolsUnmanaged","guestToolsRunning","manual","","running","poweredOn","vcenter01.sddclab.local","vmx-10","421a272b-3839-1c95-d7ad-f8643687314d","501af3af-6013-d9f9-267a-2b9cc1a31000","otherLinux64Guest","False","8/7/2018 10:00:01 AM"
