"Name","HostName","IPAddress","vCenterServer","Datacenter","Cluster","vCenterVersion","GuestOS","State","Status","FTEnabled","Folder","Annotation","Generated"
"rds01","rds01.sddclab.local","172.25.11.24","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\microsoft\rds","","8/7/2018 10:00:01 AM"
"win-7-master","win-7-master.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\templates\view","","8/7/2018 10:00:01 AM"
"win-8-master","win-8-master.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\templates\view","","8/7/2018 10:00:01 AM"
"dc01","dc01.sddclab.local","172.25.11.11","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\microsoft\ad","","8/7/2018 10:00:01 AM"
"win-7-bare",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\backup","","8/7/2018 10:00:01 AM"
"win-8-bare",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\backup","","8/7/2018 10:00:01 AM"
"win-7-clean","win-7-clean.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\vmware\horizon-view","","8/7/2018 10:00:01 AM"
"win-8-clean","win-8-master.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\vmware\horizon-view","","8/7/2018 10:00:01 AM"
"replica-025930f0-c800-4514-b541-63ac586a7858",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows 7 (64-bit)","notRunning","poweredOff","False","\VMwareViewComposerReplicaFolder","","8/7/2018 10:00:01 AM"
"replica-42aa9fbe-1929-48e5-880d-976bdba1fdcf",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows 7 (64-bit)","notRunning","poweredOff","False","\VMwareViewComposerReplicaFolder","","8/7/2018 10:00:01 AM"
"win-7-master-template",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\templates\view","","8/7/2018 10:00:01 AM"
"panorama",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\palo-alto","Panorama-7.0.1","8/7/2018 10:00:01 AM"
"powershell","powershell.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\microsoft","","8/7/2018 10:00:01 AM"
"test","localhost",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\test-vms","","8/7/2018 10:00:01 AM"
"centos67","centos67.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\templates\standard","","8/7/2018 10:00:01 AM"
"panorama-webserver","panwebserver.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\palo-alto","","8/7/2018 10:00:01 AM"
"nsxmgr","nsxmgr.sddclab.local","172.25.11.14","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\infrastructure\vmware\nsx","NSX Manager is the centralized network management component of VMware NSX for vSphere. VMware NSX is the network virtualization platform that delivers the operational model of a VM for the network to transform data center operations and economics. NSX Manager is installed as a virtual appliance on any ESX? host in your vCenter Server environment. You should install the NSX Manager virtual appliance on an ESX host separate from your NSX components. You may use the NSX Manager Appliance Management User Interface, Command Line Interface and vSphere Web Client User Interface to install, configure and maintain NSX components.","8/7/2018 10:00:01 AM"
"dc02","dc02.sddclab.local","172.25.11.12","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\microsoft\ad","","8/7/2018 10:00:01 AM"
"vra-a-windows-2012-r2",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\templates\vra\app-services","","8/7/2018 10:00:01 AM"
"vcenter02.sddclab.local","vcenter02.sddclab.local","172.25.11.50","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\infrastructure\vmware\vsphere","VMware vCenter Server Appliance","8/7/2018 10:00:01 AM"
"iaas","iaas.sddclab.local","172.25.11.22","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\vmware\vrealize-suite","","8/7/2018 10:00:01 AM"
"sql","sql.sddclab.local","172.25.11.29","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\microsoft\sql","","8/7/2018 10:00:01 AM"
"loginsight","loginsight.sddclab.local","172.25.11.20","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","SUSE Linux Enterprise 11 (64-bit)","running","poweredOn","False","\infrastructure\vmware\vrealize-suite","VMware vRealize Log Insight","8/7/2018 10:00:01 AM"
"vcenter01.sddclab.local","vcenter01.sddclab.local","172.25.11.13","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\infrastructure\vmware\vsphere","VMware vCenter Server Appliance","8/7/2018 10:00:01 AM"
"vra","vra.sddclab.local","172.25.11.15","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","SUSE Linux Enterprise 11 (64-bit)","running","poweredOn","False","\infrastructure\vmware\vrealize-suite","VMware vRealize Automation enables customized, self-service provisioning and lifecycle management of cloud services that comply with established business policies.","8/7/2018 10:00:01 AM"
"Server2016Template","WIN-P2SPJH7TIRS",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\","","8/7/2018 10:00:01 AM"
"vcs1","WIN-P2SPJH7TIRS",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\","","8/7/2018 10:00:01 AM"
"identity-manager-3.1.0.0-7291215_OVF10",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\","","8/7/2018 10:00:01 AM"
"iogen",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\","","8/7/2018 10:00:01 AM"
"mysql-io - Copy","mysql-io.grantstreet.com",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\","","8/7/2018 10:00:01 AM"
"infoblox-ddi-8.2.4-366880",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\infoblox","NIOS automates the error-prone and time-consuming manual tasks associated with deploying and managing DNS, DHCP and IP address management required for continuous IP network availability and business uptime.","8/7/2018 10:00:01 AM"
"vrops","localhost",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\vmware\vrealize-suite","vRealize Operations Manager Appliance

Version 6.0.1 running on SLES 11 SP3","8/7/2018 10:00:01 AM"
"tower","tower.sddclab.local","172.25.11.54","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Red Hat Enterprise Linux 7 (64-bit)","running","poweredOn","False","\infrastructure","","8/7/2018 10:00:01 AM"
"snow_mid_demo6_1","SNOW-MID-D6-1.sddclab.local","172.25.11.90","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"controller-1-NSX-controller-12","nsx-controller","172.25.11.6","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\","","8/7/2018 10:00:01 AM"
"controller-2-NSX-controller-13","nsx-controller","172.25.11.9","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\","","8/7/2018 10:00:01 AM"
"controller-3-NSX-controller-14","nsx-controller","172.25.11.10","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\","","8/7/2018 10:00:01 AM"
"vdi-dhcp-0","NSX-edge-6-0","172.25.8.2","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\","","8/7/2018 10:00:01 AM"
"sddclab-gw-1-0","sddclab-gw-1-0","172.25.11.5","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\nsx-edges","","8/7/2018 10:00:01 AM"
"sddclab-gw-1-1","sddclab-gw-1-1","172.25.11.5","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Other 3.x or later Linux (64-bit)","running","poweredOn","False","\nsx-edges","","8/7/2018 10:00:01 AM"
"vrademo03","vrademo03.sddclab.local","172.25.4.57","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\VRM","Provisioned by VMware vRA","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.39",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.40",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.41",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.42",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.43",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.44",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.45",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.46",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.47",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"arista-veos-4.2-172.25.4.48",,,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOn","False","\simulators\arista-veos","","8/7/2018 10:00:01 AM"
"Windows 2012 R2 SQL","WIN-N0SFGOVSQL.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"snow_mid_demo6_2","WIN-N0SFGOVIIS1.sddclab.local",,"vcenter01.sddclab.local","sddclab","mgmt","6.5.0",,"notRunning","poweredOff","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"Rapid7-InsightVM","r7-insightvm.sddclab.local","172.25.11.155","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2012 (64-bit)","running","poweredOn","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"apache-proxy","localhost.localdomain","172.25.11.156","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","CentOS 4/5 or later (64-bit)","running","poweredOn","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"rds02","rds02.sddclab.local","172.25.11.167","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2016 (64-bit)","running","poweredOn","False","\infrastructure\microsoft\rds","General use jump server for lab environment.","8/7/2018 10:00:01 AM"
"w2k16-core","w2k16-core","172.25.11.169","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Microsoft Windows Server 2016 (64-bit)","running","poweredOn","False","\infrastructure\microsoft","","8/7/2018 10:00:01 AM"
"wordpress01","wordpress01","172.25.11.168","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","Ubuntu Linux (32-bit)","running","poweredOn","False","\infrastructure\servicenow\servers","","8/7/2018 10:00:01 AM"
"snowtest12","localhost.localdomain","172.25.11.150","vcenter01.sddclab.local","sddclab","mgmt","6.5.0","CentOS 4/5 or later (64-bit)","running","poweredOn","False","\infrastructure\servicenow","User : Brandon Wilson
ServiceNow Instance : advizexdemo6.service-now.com
Time Provisioned : 2018-07-26 19:55:21
Tag Id : 164d828f92197a2b6db9515b
User Group : System Administrators
Stack : snowtest12
","8/7/2018 10:00:01 AM"
