"Name","AdapterType","Label","MacAddress","MacAddressType","PortGroupName","PortGroupType","DVSwitchName","IPAddress","PrefixLength","DHCP","Connected","StartConnected","AllowGuestControl","Shares","ShareLevel","Status","vCenterServer"
"controller-3-NSX-controller-14","vmxnet3","Network adapter 1","00:50:56:9a:0b:c3","assigned","mgmt-3011-infra","Distributed","vds-mgmt","172.25.11.10","24","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"mysql-io - Copy","vmxnet3","Network adapter 1","00:50:56:9a:a6:09","assigned","mgmt-3012-vdi","Distributed","vds-mgmt","","","","False","True","True","50","normal","untried","vcenter01.sddclab.local"
"identity-manager-3.1.0.0-7291215_OVF10","e1000","Network adapter 1","00:50:56:9a:61:35","assigned","mgmt-3011-infra","Distributed","vds-mgmt","","","","False","True","True","50","normal","untried","vcenter01.sddclab.local"
"controller-2-NSX-controller-13","vmxnet3","Network adapter 1","00:50:56:9a:a7:29","assigned","mgmt-3011-infra","Distributed","vds-mgmt","172.25.11.9","24","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vcs1","e1000e","Network adapter 1","00:50:56:9a:9d:36","assigned","NULL","Standard",,"","","","False","True","True","50","normal","untried","vcenter01.sddclab.local"
"iogen","vmxnet3","Network adapter 1","00:50:56:9a:55:84","assigned","NULL","Standard",,"","","","False","True","True","50","normal","untried","vcenter01.sddclab.local"
"Server2016Template","e1000e","Network adapter 1","00:50:56:9a:aa:6f","assigned","NULL","Standard",,"","","","False","True","True","50","normal","untried","vcenter01.sddclab.local"
"controller-1-NSX-controller-12","vmxnet3","Network adapter 1","00:50:56:9a:1b:39","assigned","mgmt-3011-infra","Distributed","vds-mgmt","172.25.11.6","24","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 1","00:50:56:9a:2c:3b","assigned","mgmt-3012-vdi","Distributed","vds-mgmt","172.25.12.2|fe80::250:56ff:fe9a:2c3b","24|64","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 2","00:50:56:9a:de:70","assigned","mgmt-3004-test-1","Distributed","vds-mgmt","172.25.4.2|fe80::250:56ff:fe9a:de70","24|64","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 3","00:50:56:9a:5b:65","assigned","mgmt-3005-test-2","Distributed","vds-mgmt","172.25.5.2|fe80::250:56ff:fe9a:5b65","24|64","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 4","00:50:56:9a:14:42","assigned","mgmt-3008-test-3","Distributed","vds-mgmt","172.25.8.2|fe80::250:56ff:fe9a:1442","24|64","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 5","00:50:56:9a:5a:1a","assigned","mgmt-3011-infra","Distributed","vds-mgmt","172.25.11.2|fe80::250:56ff:fe9a:5a1a","24|64","","True","True","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 6","00:50:56:9a:16:57","assigned","none","NotAssigned",,"","","","False","False","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 7","00:50:56:9a:e2:0e","assigned","none","NotAssigned",,"","","","False","False","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 8","00:50:56:9a:3c:97","assigned","none","NotAssigned",,"","","","False","False","True","50","normal","ok","vcenter01.sddclab.local"
"vdi-dhcp-0","vmxnet3","Network adapter 9","00:50:56:9a:c8:09","assigned","none","NotAssigned",,"","","","False","False","True","50","normal","ok","vcenter01.sddclab.local"
