"vCenterServer","VMHost","NICType","Name","PciID","MACAddress","Driver","LinkSpeedMB","DVSwitch","DVSMTU","VSSSwitch","VSSMTU","VMKMTU","DHCPEnabled","IPAddress","SubnetMask","DVSPortGroup","DVSPortGroupVLAN","VSSPortGroup","VSSPortGroupVLAN","ManagementTraffic","vMotionTraffic","VsanTraffic","vSphereProvisioningTraffic","vSphereReplicationTraffic","vSphereReplicationNfcTraffic","FaultToleranceTraffic"
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic0","0000:04:00.0","d8:9d:67:77:95:fc","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic1","0000:04:00.1","d8:9d:67:77:95:fd","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic2","0000:04:00.2","d8:9d:67:77:95:fe","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic3","0000:04:00.3","d8:9d:67:77:95:ff","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic4","0000:71:00.0","b4:b5:2f:e4:c7:10","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic5","0000:71:00.1","b4:b5:2f:e4:c7:11","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic6","0000:71:00.2","b4:b5:2f:e4:c7:12","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic7","0000:71:00.3","b4:b5:2f:e4:c7:13","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic8","0000:77:00.0","2c:59:e5:9b:b8:c8","elxnet","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Physical","vmnic9","0000:77:00.1","2c:59:e5:9b:b8:cc","elxnet","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Virtual","vmk0",,"2c:59:e5:9b:b8:cc",,,,,,,"1500","False","172.25.1.11","255.255.255.0","mgmt-3001-mgmt","3001","",,"True",,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Virtual","vmk2",,"00:50:56:61:df:dc",,,,,,,"1600","False","172.17.20.11","255.255.255.0","mgmt-20-nfs","20","",,,,,,,,
"vcenter01.sddclab.local","esxi01.sddclab.local","Virtual","vmk1",,"00:50:56:64:3f:23",,,,,,,"1600","False","172.25.3.11","255.255.255.0","mgmt-3003-vmotion","3003","",,,"True",,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Physical","vmnic0","0000:04:00.0","1c:c1:de:ee:5c:9c","nx_nic","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Physical","vmnic1","0000:04:00.1","1c:c1:de:ee:5c:a0","nx_nic","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Physical","vmnic2","0000:04:00.2","1c:c1:de:ee:5c:9a","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Physical","vmnic3","0000:04:00.3","1c:c1:de:ee:5c:9b","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Virtual","vmk0",,"1c:c1:de:ee:5c:9c",,,,,,,"1500","False","172.25.1.12","255.255.255.0","mgmt-3001-mgmt","3001","",,"True",,,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Virtual","vmk1",,"00:50:56:6a:e2:6f",,,,,,,"1600","False","172.25.3.12","255.255.255.0","mgmt-3003-vmotion","3003","",,,"True",,,,,
"vcenter01.sddclab.local","esxi02.sddclab.local","Virtual","vmk2",,"00:50:56:6d:c8:d6",,,,,,,"1600","False","172.17.20.12","255.255.255.0","mgmt-20-nfs","20","",,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic0","0000:04:00.0","6c:3b:e5:a3:73:78","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic1","0000:04:00.1","6c:3b:e5:a3:73:79","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic2","0000:04:00.2","6c:3b:e5:a3:73:7a","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic3","0000:04:00.3","6c:3b:e5:a3:73:7b","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic4","0000:71:00.0","b4:b5:2f:e4:78:ec","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic5","0000:71:00.1","b4:b5:2f:e4:78:ed","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic6","0000:71:00.2","b4:b5:2f:e4:78:ee","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic7","0000:71:00.3","b4:b5:2f:e4:78:ef","nx_nic",,,"",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic8","0000:7a:00.0","2c:59:e5:9b:d8:28","elxnet","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Physical","vmnic9","0000:7a:00.1","2c:59:e5:9b:d8:2c","elxnet","10000","vds-mgmt","1600",,"",,,,,,,,,,,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Virtual","vmk0",,"2c:59:e5:9b:d8:28",,,,,,,"1500","False","172.25.1.18","255.255.255.0","mgmt-3001-mgmt","3001","",,"True",,,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Virtual","vmk1",,"00:50:56:6c:25:40",,,,,,,"1600","False","172.25.3.18","255.255.255.0","mgmt-3003-vmotion","3003","",,,"True",,,,,
"vcenter01.sddclab.local","esxi03.sddclab.local","Virtual","vmk2",,"00:50:56:68:e1:a6",,,,,,,"1600","False","172.17.20.18","255.255.255.0","mgmt-20-nfs","20","",,,,,,,,
